Zeitstempel;WT;Bezug in kW;Bezug in W;Bezug kW;Bezug in kWh;F_EVS;Bezug Netto in kWh;Bezug Netto in kWh2;F_EVS2;Residuallast in MW;FRL_max_day;FRL_max;FRL_average_day;FRL_average;RLCI_max_Bezug;RLCI_average_Bezug;RLCI_max;RLCI_average;EPEX Day Ahead;Endpreis dT Brutto dyn.;"""Bezugsklasse""";Kosten_Netto;Kosten_Brutto_GES dyn;Wel * Gmin (NETTO);Wel*Gmax (NETTO);Wel * Gmin (BRUTTO);Wel*Gmax (Brutto);RIB_DAY_NETTO_Bezug;RIB_DAY_NETTO_brutto(+-);RIB_DAY_BRUTTO_Netto(+-);vNE_EWS_NETTO;Endpreis dT+vNE Brutto dyn plus;Kosten_vNE_Netto;Kosten vNE Brutto;Kosten_GES_Brutto dyn plus;Wel * Gmin (NETTO)3;Wel*Gmax (NETTO)4;Wel * Gmin (BRUTTO)5;Wel*Gmax (BRUTTO)6;RIB_DAY_NETTO;RIB_DAY_NETTO_netto (+-);RIB_DAY_BRUTTO_netto (+-);WB aktiv (1)
16.07.2025 12:15;Mi;0,0520;52,0;-0,0520;-0,0130;-0,00445;0,0319;0,0080;0,00385; 21.721,10 ;;0,40767;;0,8167;-0,0018;-0,0036;0,0016;0,0031;8,196 ct/kWh;31,57 ct/kWh;A;0,1065 ct;0,4103 ct;0,0885 ct;0,1678 ct;0,3888 ct;0,4832 ct;;;;14,430 ct/kWh;38,209 ct/kWh;0,1876 ct;0,2232 ct;0,4967 ct;0,0620 ct;0,1876 ct;0,3496 ct;0,5309 ct;;;;0
16.07.2025 12:30;Mi;0,0321;32,1;-0,0321;-0,0080;-0,00275;0,0319;0,0080;0,00385; 20.456,70 ;;0,38393;;0,7691;-0,0011;-0,0021;0,0015;0,0030;8,196 ct/kWh;31,57 ct/kWh;A;0,0657 ct;0,2532 ct;0,0546 ct;0,1035 ct;0,2399 ct;0,2981 ct;;;;14,430 ct/kWh;38,209 ct/kWh;0,1157 ct;0,1377 ct;0,3064 ct;0,0383 ct;0,1157 ct;0,2156 ct;0,3275 ct;;;;0
16.07.2025 12:45;Mi;0,0640;64,0;-0,0640;-0,0160;-0,00548;0,0641;0,0160;0,00772; 19.241,70 ;;0,36113;;0,7234;-0,0020;-0,0040;0,0028;0,0056;8,196 ct/kWh;31,57 ct/kWh;A;0,1311 ct;0,5050 ct;0,1089 ct;0,2065 ct;0,4786 ct;0,5947 ct;;;;14,430 ct/kWh;38,209 ct/kWh;0,2309 ct;0,2747 ct;0,6113 ct;0,0763 ct;0,2309 ct;0,4302 ct;0,6534 ct;;;;0
16.07.2025 13:00;Mi;0,0683;68,3;-0,0683;-0,0171;-0,00585;0,1158;0,0289;0,01395; 18.478,90 ;;0,34682;;0,6948;-0,0020;-0,0041;0,0048;0,0097;7,862 ct/kWh;31,17 ct/kWh;A;0,1343 ct;0,5323 ct;0,1162 ct;0,2204 ct;0,5109 ct;0,6348 ct;;;;14,430 ct/kWh;37,812 ct/kWh;0,2465 ct;0,2933 ct;0,6458 ct;0,0815 ct;0,2465 ct;0,4593 ct;0,6975 ct;;;;0
16.07.2025 13:15;Mi;0,1359;135,9;-0,1359;-0,0340;-0,01163;0,0242;0,0061;0,00292; 19.426,40 ;;0,36460;;0,7304;-0,0042;-0,0085;0,0011;0,0021;7,862 ct/kWh;31,17 ct/kWh;A;0,2671 ct;1,0588 ct;0,2312 ct;0,4383 ct;1,0161 ct;1,2626 ct;;;;14,430 ct/kWh;37,812 ct/kWh;0,4902 ct;0,5833 ct;1,2845 ct;0,1620 ct;0,4902 ct;0,9134 ct;1,3872 ct;;;;0
16.07.2025 13:30;Mi;0,1597;159,7;-0,1597;-0,0399;-0,01367;0,0120;0,0030;0,00145; 19.400,80 ;;0,36412;;0,7294;-0,0050;-0,0100;0,0005;0,0011;7,862 ct/kWh;31,17 ct/kWh;A;0,3139 ct;1,2445 ct;0,2718 ct;0,5153 ct;1,1944 ct;1,4841 ct;;;;14,430 ct/kWh;37,812 ct/kWh;0,5762 ct;0,6857 ct;1,5098 ct;0,1905 ct;0,5762 ct;1,0737 ct;1,6306 ct;;;;0
16.07.2025 13:45;Mi;0,0120;12,0;-0,0120;-0,0030;-0,00103;0,0320;0,0080;0,00386; 17.844,00 ;;0,33490;;0,6709;-0,0003;-0,0007;0,0013;0,0026;7,862 ct/kWh;31,17 ct/kWh;A;0,0236 ct;0,0935 ct;0,0204 ct;0,0387 ct;0,0897 ct;0,1115 ct;;;;11,930 ct/kWh;34,837 ct/kWh;0,0358 ct;0,0426 ct;0,1045 ct;0,0143 ct;0,0433 ct;0,0807 ct;0,1225 ct;;;;0
16.07.2025 14:00;Mi;0,0120;12,0;-0,0120;-0,0030;-0,00103;0,0400;0,0100;0,00482; 17.272,80 ;;0,32418;;0,6494;-0,0003;-0,0007;0,0016;0,0031;6,806 ct/kWh;29,91 ct/kWh;A;0,0205 ct;0,0900 ct;0,0205 ct;0,0388 ct;0,0900 ct;0,1119 ct;;;;11,930 ct/kWh;33,580 ct/kWh;0,0359 ct;0,0427 ct;0,1011 ct;0,0144 ct;0,0434 ct;0,0809 ct;0,1229 ct;;;;0
16.07.2025 14:15;Mi;0,0160;16,0;-0,0160;-0,0040;-0,00137;0,0640;0,0160;0,00771; 16.600,70 ;;0,31156;;0,6241;-0,0004;-0,0009;0,0024;0,0048;6,806 ct/kWh;29,91 ct/kWh;A;0,0272 ct;0,1193 ct;0,0272 ct;0,0515 ct;0,1193 ct;0,1483 ct;;;;11,930 ct/kWh;33,580 ct/kWh;0,0476 ct;0,0566 ct;0,1340 ct;0,0190 ct;0,0576 ct;0,1073 ct;0,1629 ct;;;;0
16.07.2025 14:30;Mi;0,0160;16,0;-0,0160;-0,0040;-0,00137;0,0800;0,0200;0,00964; 16.707,50 ;;0,31357;;0,6282;-0,0004;-0,0009;0,0030;0,0061;6,806 ct/kWh;29,91 ct/kWh;A;0,0272 ct;0,1196 ct;0,0272 ct;0,0516 ct;0,1196 ct;0,1487 ct;;;;11,930 ct/kWh;33,580 ct/kWh;0,0477 ct;0,0568 ct;0,1343 ct;0,0191 ct;0,0577 ct;0,1076 ct;0,1633 ct;;;;0
16.07.2025 14:45;Mi;0,0120;12,0;-0,0120;-0,0030;-0,00103;0,0598;0,0150;0,00721; 16.789,90 ;;0,31512;;0,6313;-0,0003;-0,0007;0,0023;0,0046;6,806 ct/kWh;29,91 ct/kWh;A;0,0205 ct;0,0900 ct;0,0205 ct;0,0388 ct;0,0900 ct;0,1119 ct;;;;11,930 ct/kWh;33,580 ct/kWh;0,0359 ct;0,0427 ct;0,1011 ct;0,0144 ct;0,0434 ct;0,0809 ct;0,1229 ct;;;;0
16.07.2025 15:00;Mi;0,0080;8,0;-0,0080;-0,0020;-0,00068;0,6401;0,1600;0,07712; 17.028,50 ;;0,31959;;0,6402;-0,0002;-0,0004;0,0246;0,0494;6,920 ct/kWh;30,05 ct/kWh;A;0,0138 ct;0,0601 ct;0,0136 ct;0,0258 ct;0,0598 ct;0,0743 ct;;;;11,930 ct/kWh;33,716 ct/kWh;0,0239 ct;0,0284 ct;0,0674 ct;0,0095 ct;0,0289 ct;0,0538 ct;0,0817 ct;;;;0
16.07.2025 15:15;Mi;0,0160;16,0;-0,0160;-0,0040;-0,00137;0,0520;0,0130;0,00626; 17.946,40 ;;0,33682;;0,6747;-0,0005;-0,0009;0,0021;0,0042;6,920 ct/kWh;30,05 ct/kWh;A;0,0277 ct;0,1202 ct;0,0272 ct;0,0516 ct;0,1196 ct;0,1487 ct;;;;11,930 ct/kWh;33,716 ct/kWh;0,0477 ct;0,0568 ct;0,1349 ct;0,0191 ct;0,0577 ct;0,1076 ct;0,1633 ct;;;;0
16.07.2025 15:30;Mi;0,0080;8,0;-0,0080;-0,0020;-0,00068;0,0280;0,0070;0,00338; 18.492,30 ;;0,34707;;0,6953;-0,0002;-0,0005;0,0012;0,0023;6,920 ct/kWh;30,05 ct/kWh;A;0,0138 ct;0,0601 ct;0,0136 ct;0,0258 ct;0,0598 ct;0,0743 ct;;;;11,930 ct/kWh;33,716 ct/kWh;0,0239 ct;0,0284 ct;0,0674 ct;0,0095 ct;0,0289 ct;0,0538 ct;0,0817 ct;;;;0
16.07.2025 15:45;Mi;0,0120;12,0;-0,0120;-0,0030;-0,00103;0,0640;0,0160;0,00771; 18.455,10 ;;0,34637;;0,6939;-0,0004;-0,0007;0,0027;0,0053;6,920 ct/kWh;30,05 ct/kWh;A;0,0208 ct;0,0901 ct;0,0204 ct;0,0387 ct;0,0897 ct;0,1115 ct;;;;11,930 ct/kWh;33,716 ct/kWh;0,0358 ct;0,0426 ct;0,1011 ct;0,0143 ct;0,0433 ct;0,0807 ct;0,1225 ct;;;;0
