Datum (MEZ),Residuallast,Day Ahead Auktion (DE-LU)
2025-01-01T14:45+01:00,1886.8,-1.01
2025-01-01T15:00+01:00,2884.4,-0.01
2025-01-01T15:15+01:00,2727.5,-0.01
2025-01-01T15:30+01:00,2964.7,-0.01
2025-01-01T15:45+01:00,4185.6,-0.01
2025-01-01T16:00+01:00,6258.2,-0.01
2025-01-01T16:15+01:00,6512.5,-0.01
2025-01-01T16:30+01:00,7052.5,-0.01
2025-01-01T16:45+01:00,8643.2,-0.01
2025-01-01T17:00+01:00,7659.6,0.07
2025-01-01T17:15+01:00,6776.3,0.07
2025-01-01T17:30+01:00,7010.3,0.07
2025-01-01T17:45+01:00,7280,0.07
2025-01-01T18:00+01:00,8086.7,1.01
2025-01-01T18:15+01:00,7827.4,1.01
2025-01-01T18:30+01:00,8040.7,1.01
2025-01-01T18:45+01:00,7669.4,1.01
2025-01-01T19:00+01:00,8220.9,1.48
2025-01-01T19:15+01:00,7938.6,1.48
2025-01-01T19:30+01:00,7927.5,1.48
2025-01-01T19:45+01:00,7548.5,1.48
2025-01-01T20:00+01:00,6193.3,1
2025-01-01T20:15+01:00,6223.3,1
2025-01-01T20:30+01:00,5870.9,1
2025-01-01T20:45+01:00,5152.2,1
2025-01-01T21:00+01:00,5360.8,0.07
2025-01-01T21:15+01:00,5402.1,0.07
2025-01-01T21:30+01:00,5274.8,0.07
2025-01-01T21:45+01:00,5058.2,0.07
2025-01-01T22:00+01:00,5894.8,10.05
2025-01-01T22:15+01:00,5508.4,10.05
2025-01-01T22:30+01:00,4877.9,10.05
2025-01-01T22:45+01:00,3995.7,10.05
2025-01-01T23:00+01:00,3120,7.01
2025-01-01T23:15+01:00,3028.3,7.01
2025-01-01T23:30+01:00,1641.3,7.01
2025-01-01T23:45+01:00,1270,7.01
2025-01-02T00:00+01:00,1952.5,2.55
2025-01-02T00:15+01:00,2757.1,2.55
2025-01-02T00:30+01:00,2064.6,2.55
2025-01-02T00:45+01:00,2515.5,2.55
2025-01-02T01:00+01:00,1204.1,1.56
2025-01-02T01:15+01:00,802.7,1.56
2025-01-02T01:30+01:00,764.4,1.56
2025-01-02T01:45+01:00,1473.4,1.56
2025-01-02T02:00+01:00,1807.8,3.45
2025-01-02T02:15+01:00,2334.9,3.45
2025-01-02T02:30+01:00,1692.2,3.45
2025-01-02T02:45+01:00,1676.7,3.45
2025-01-02T03:00+01:00,1813.8,7.02
2025-01-02T03:15+01:00,2990.3,7.02
2025-01-02T03:30+01:00,4034,7.02
2025-01-02T03:45+01:00,4777.2,7.02
2025-01-02T04:00+01:00,5984.1,12.75
2025-01-02T04:15+01:00,5561.1,12.75
2025-01-02T04:30+01:00,6155.5,12.75
2025-01-02T04:45+01:00,7247.3,12.75
2025-01-02T05:00+01:00,8035,30.07
2025-01-02T05:15+01:00,8885.2,30.07
2025-01-02T05:30+01:00,10393.2,30.07
2025-01-02T05:45+01:00,11358.3,30.07
2025-01-02T06:00+01:00,12824.2,67.13
2025-01-02T06:15+01:00,14806.2,67.13
2025-01-02T06:30+01:00,16549.4,67.13
2025-01-02T06:45+01:00,18547,67.13
2025-01-02T07:00+01:00,20470,98.83
2025-01-02T07:15+01:00,22170.8,98.83
2025-01-02T07:30+01:00,23261.3,98.83
2025-01-02T07:45+01:00,24674.4,98.83
2025-01-02T08:00+01:00,27064.3,121.53
2025-01-02T08:15+01:00,28975.6,121.53
2025-01-02T08:30+01:00,29623,121.53
2025-01-02T08:45+01:00,30624,121.53
2025-01-02T09:00+01:00,31711.5,127.23
2025-01-02T09:15+01:00,33050.7,127.23
2025-01-02T09:30+01:00,33920.7,127.23
2025-01-02T09:45+01:00,34186.4,127.23
2025-01-02T10:00+01:00,34509.8,126.35
2025-01-02T10:15+01:00,35334.8,126.35
2025-01-02T10:30+01:00,35974.2,126.35
2025-01-02T10:45+01:00,36321.2,126.35
2025-01-02T11:00+01:00,36267.8,119.97
2025-01-02T11:15+01:00,36333.1,119.97
2025-01-02T11:30+01:00,36749.2,119.97
2025-01-02T11:45+01:00,37350.5,119.97
2025-01-02T12:00+01:00,37983.3,115.95
2025-01-02T12:15+01:00,38120.1,115.95
2025-01-02T12:30+01:00,37716.3,115.95
2025-01-02T12:45+01:00,37137.8,115.95
2025-01-02T13:00+01:00,37822.7,113.9
2025-01-02T13:15+01:00,37599.2,113.9
2025-01-02T13:30+01:00,37971.2,113.9
2025-01-02T13:45+01:00,38422.5,113.9
2025-01-02T14:00+01:00,39274.4,122.21
2025-01-02T14:15+01:00,39268.4,122.21
2025-01-02T14:30+01:00,40119.6,122.21
2025-01-02T14:45+01:00,40744.6,122.21
2025-01-02T15:00+01:00,41443.5,130.11
2025-01-02T15:15+01:00,41555.3,130.11
2025-01-02T15:30+01:00,41984.4,130.11
2025-01-02T15:45+01:00,42027,130.11
2025-01-02T16:00+01:00,41856.1,138.59
2025-01-02T16:15+01:00,42516.2,138.59
2025-01-02T16:30+01:00,42515.9,138.59
2025-01-02T16:45+01:00,42949.1,138.59
2025-01-02T17:00+01:00,42146.2,152.87
2025-01-02T17:15+01:00,41712.2,152.87
2025-01-02T17:30+01:00,41937.1,152.87
2025-01-02T17:45+01:00,42381.1,152.87
2025-01-02T18:00+01:00,41961.2,152.94
2025-01-02T18:15+01:00,41979.6,152.94
2025-01-02T18:30+01:00,41260.2,152.94
2025-01-02T18:45+01:00,40227.6,152.94
2025-01-02T19:00+01:00,39455,139.15
2025-01-02T19:15+01:00,38496.4,139.15
2025-01-02T19:30+01:00,37948.5,139.15
2025-01-02T19:45+01:00,36633.4,139.15
2025-01-02T20:00+01:00,35272,130
2025-01-02T20:15+01:00,34522.9,130
2025-01-02T20:30+01:00,33582.2,130
2025-01-02T20:45+01:00,32904.4,130
2025-01-02T21:00+01:00,32420.2,119.78
2025-01-02T21:15+01:00,32138.5,119.78
2025-01-02T21:30+01:00,31489,119.78
2025-01-02T21:45+01:00,30389.6,119.78
2025-01-02T22:00+01:00,30683.6,113.42
2025-01-02T22:15+01:00,29742.3,113.42
2025-01-02T22:30+01:00,28440.3,113.42
2025-01-02T22:45+01:00,27586.7,113.42
2025-01-02T23:00+01:00,27696.3,82.47
2025-01-02T23:15+01:00,26054.9,82.47
2025-01-02T23:30+01:00,24623.9,82.47
2025-01-02T23:45+01:00,24233.9,82.47
2025-01-03T00:00+01:00,23347.5,99.56
2025-01-03T00:15+01:00,23164.6,99.56
2025-01-03T00:30+01:00,22267.1,99.56
2025-01-03T00:45+01:00,21549.4,99.56
2025-01-03T01:00+01:00,20843.1,87.53
2025-01-03T01:15+01:00,21133.6,87.53
2025-01-03T01:30+01:00,20779.1,87.53
2025-01-03T01:45+01:00,20048.4,87.53
2025-01-03T02:00+01:00,19515,85.01
2025-01-03T02:15+01:00,19200.6,85.01
2025-01-03T02:30+01:00,19176.1,85.01
2025-01-03T02:45+01:00,19013.9,85.01
2025-01-03T03:00+01:00,19528.9,83.79
2025-01-03T03:15+01:00,19428,83.79
2025-01-03T03:30+01:00,19149.3,83.79
2025-01-03T03:45+01:00,18681,83.79
2025-01-03T04:00+01:00,19145.1,77.5
2025-01-03T04:15+01:00,19168.1,77.5
2025-01-03T04:30+01:00,18371.8,77.5
2025-01-03T04:45+01:00,18461.3,77.5
2025-01-03T05:00+01:00,19325.5,79.88
2025-01-03T05:15+01:00,19353.9,79.88
2025-01-03T05:30+01:00,19411,79.88
2025-01-03T05:45+01:00,19853,79.88
2025-01-03T06:00+01:00,20388.3,83.56
2025-01-03T06:15+01:00,20560,83.56
2025-01-03T06:30+01:00,20660.6,83.56
2025-01-03T06:45+01:00,21079,83.56
2025-01-03T07:00+01:00,22680,78.43
2025-01-03T07:15+01:00,22588.1,78.43
2025-01-03T07:30+01:00,23379.9,78.43
2025-01-03T07:45+01:00,23564.8,78.43
2025-01-03T08:00+01:00,24124.3,82.57
2025-01-03T08:15+01:00,23855.8,82.57
2025-01-03T08:30+01:00,23916.1,82.57
2025-01-03T08:45+01:00,24048.3,82.57
2025-01-03T09:00+01:00,23773.2,80.76
2025-01-03T09:15+01:00,23604.1,80.76
2025-01-03T09:30+01:00,23111,80.76
2025-01-03T09:45+01:00,22983.4,80.76
2025-01-03T10:00+01:00,22501.1,77.64
2025-01-03T10:15+01:00,22230.5,77.64
2025-01-03T10:30+01:00,21331.7,77.64
2025-01-03T10:45+01:00,20360.8,77.64
2025-01-03T11:00+01:00,19980.4,70.48
2025-01-03T11:15+01:00,19409.7,70.48
2025-01-03T11:30+01:00,18813,70.48
2025-01-03T11:45+01:00,19436,70.48
2025-01-03T12:00+01:00,20120.9,69.94
2025-01-03T12:15+01:00,20149.7,69.94
2025-01-03T12:30+01:00,19745.2,69.94
2025-01-03T12:45+01:00,20265.5,69.94
2025-01-03T13:00+01:00,20130.9,77.8
2025-01-03T13:15+01:00,19771,77.8
2025-01-03T13:30+01:00,20205.7,77.8
2025-01-03T13:45+01:00,20372.4,77.8
2025-01-03T14:00+01:00,20970.8,78.81
2025-01-03T14:15+01:00,20968.2,78.81
2025-01-03T14:30+01:00,21512.6,78.81
2025-01-03T14:45+01:00,22247,78.81
2025-01-03T15:00+01:00,23678.6,85.29
2025-01-03T15:15+01:00,24184.7,85.29
2025-01-03T15:30+01:00,24548.5,85.29
2025-01-03T15:45+01:00,25678.4,85.29
2025-01-03T16:00+01:00,26510.8,105.51
2025-01-03T16:15+01:00,27052.5,105.51
2025-01-03T16:30+01:00,27651.4,105.51
2025-01-03T16:45+01:00,28514.5,105.51
2025-01-03T17:00+01:00,29803.5,116.66
2025-01-03T17:15+01:00,30623.3,116.66
2025-01-03T17:30+01:00,30683.2,116.66
2025-01-03T17:45+01:00,31529,116.66
2025-01-03T18:00+01:00,32001.8,115.06
2025-01-03T18:15+01:00,31368,115.06
2025-01-03T18:30+01:00,30972.4,115.06
2025-01-03T18:45+01:00,31373.6,115.06
2025-01-03T19:00+01:00,30876.8,114.91
2025-01-03T19:15+01:00,30339.3,114.91
2025-01-03T19:30+01:00,29452.3,114.91
2025-01-03T19:45+01:00,28671.1,114.91
2025-01-03T20:00+01:00,27701.7,113.3
2025-01-03T20:15+01:00,27611.7,113.3
2025-01-03T20:30+01:00,27538.1,113.3
2025-01-03T20:45+01:00,26803.4,113.3
2025-01-03T21:00+01:00,26092.6,107.8
2025-01-03T21:15+01:00,25964.9,107.8
2025-01-03T21:30+01:00,25690.7,107.8
2025-01-03T21:45+01:00,25545.9,107.8
2025-01-03T22:00+01:00,25825.6,98.22
2025-01-03T22:15+01:00,25330.1,98.22
2025-01-03T22:30+01:00,24866.9,98.22
2025-01-03T22:45+01:00,25212,98.22
2025-01-03T23:00+01:00,25332.8,88.57
2025-01-03T23:15+01:00,25124.9,88.57
2025-01-03T23:30+01:00,24536.1,88.57
2025-01-03T23:45+01:00,23921.7,88.57
2025-01-04T00:00+01:00,24164.7,90.43
2025-01-04T00:15+01:00,24175.7,90.43
2025-01-04T00:30+01:00,23985,90.43
2025-01-04T00:45+01:00,23838.5,90.43
2025-01-04T01:00+01:00,23601.7,90.29
2025-01-04T01:15+01:00,24194.9,90.29
2025-01-04T01:30+01:00,24477,90.29
2025-01-04T01:45+01:00,24190.3,90.29
2025-01-04T02:00+01:00,24262,90.2
2025-01-04T02:15+01:00,25081.9,90.2
2025-01-04T02:30+01:00,25668.6,90.2
2025-01-04T02:45+01:00,25845.9,90.2
2025-01-04T03:00+01:00,26580.7,91.52
2025-01-04T03:15+01:00,27265,91.52
2025-01-04T03:30+01:00,27637.4,91.52
2025-01-04T03:45+01:00,27734.6,91.52
2025-01-04T04:00+01:00,28493.1,95.95
2025-01-04T04:15+01:00,28798.3,95.95
2025-01-04T04:30+01:00,29043.2,95.95
2025-01-04T04:45+01:00,29705.4,95.95
2025-01-04T05:00+01:00,30841.1,102.11
2025-01-04T05:15+01:00,31244.5,102.11
2025-01-04T05:30+01:00,32074.6,102.11
2025-01-04T05:45+01:00,32269.9,102.11
2025-01-04T06:00+01:00,32819.2,110.66
2025-01-04T06:15+01:00,33668,110.66
2025-01-04T06:30+01:00,34115.9,110.66
2025-01-04T06:45+01:00,34821.4,110.66
2025-01-04T07:00+01:00,35774.7,119.96
2025-01-04T07:15+01:00,36409.3,119.96
2025-01-04T07:30+01:00,37275.7,119.96
2025-01-04T07:45+01:00,37899.1,119.96
2025-01-04T08:00+01:00,39127.8,128.39
2025-01-04T08:15+01:00,39924.2,128.39
2025-01-04T08:30+01:00,40559,128.39
2025-01-04T08:45+01:00,40956,128.39
2025-01-04T09:00+01:00,41105.4,130.75
2025-01-04T09:15+01:00,41145,130.75
2025-01-04T09:30+01:00,42000.3,130.75
2025-01-04T09:45+01:00,41796.7,130.75
2025-01-04T10:00+01:00,41638.4,130.34
2025-01-04T10:15+01:00,41863,130.34
2025-01-04T10:30+01:00,41560.7,130.34
2025-01-04T10:45+01:00,41759.5,130.34
2025-01-04T11:00+01:00,41447.5,128.29
2025-01-04T11:15+01:00,41694.8,128.29
2025-01-04T11:30+01:00,41589.6,128.29
2025-01-04T11:45+01:00,42266.3,128.29
2025-01-04T12:00+01:00,42689.4,130.03
2025-01-04T12:15+01:00,42688.9,130.03
2025-01-04T12:30+01:00,42587.5,130.03
2025-01-04T12:45+01:00,42464.6,130.03
2025-01-04T13:00+01:00,42210.6,129.85
2025-01-04T13:15+01:00,41874.2,129.85
2025-01-04T13:30+01:00,41611.3,129.85
2025-01-04T13:45+01:00,41702.5,129.85
2025-01-04T14:00+01:00,41899.9,136.4
2025-01-04T14:15+01:00,42233.4,136.4
2025-01-04T14:30+01:00,43136.5,136.4
2025-01-04T14:45+01:00,43719.5,136.4
2025-01-04T15:00+01:00,44371.6,138.72
2025-01-04T15:15+01:00,44750.5,138.72
2025-01-04T15:30+01:00,45374,138.72
2025-01-04T15:45+01:00,46010.6,138.72
2025-01-04T16:00+01:00,46207.4,142
2025-01-04T16:15+01:00,46669.9,142
2025-01-04T16:30+01:00,47546.2,142
2025-01-04T16:45+01:00,48079.9,142
2025-01-04T17:00+01:00,48573,151.24
2025-01-04T17:15+01:00,48738.7,151.24
2025-01-04T17:30+01:00,49270.2,151.24
2025-01-04T17:45+01:00,49018.2,151.24
2025-01-04T18:00+01:00,49019.6,143.85
2025-01-04T18:15+01:00,48717.4,143.85
2025-01-04T18:30+01:00,48151.9,143.85
2025-01-04T18:45+01:00,47386,143.85
2025-01-04T19:00+01:00,46950.8,137.96
2025-01-04T19:15+01:00,46290.6,137.96
2025-01-04T19:30+01:00,45756.6,137.96
2025-01-04T19:45+01:00,45186.3,137.96
2025-01-04T20:00+01:00,44316.1,129.49
2025-01-04T20:15+01:00,43535.5,129.49
2025-01-04T20:30+01:00,42546.5,129.49
2025-01-04T20:45+01:00,41814.4,129.49
2025-01-04T21:00+01:00,41147.4,122.83
2025-01-04T21:15+01:00,40792.5,122.83
2025-01-04T21:30+01:00,40509.3,122.83
2025-01-04T21:45+01:00,40323.9,122.83
2025-01-04T22:00+01:00,40811.5,118.29
2025-01-04T22:15+01:00,40107.1,118.29
2025-01-04T22:30+01:00,39641.5,118.29
2025-01-04T22:45+01:00,39236.1,118.29
2025-01-04T23:00+01:00,38151.8,109.49
2025-01-04T23:15+01:00,37728.7,109.49
2025-01-04T23:30+01:00,37346.9,109.49
2025-01-04T23:45+01:00,36640.3,109.49
2025-01-05T00:00+01:00,36885.8,113.84
2025-01-05T00:15+01:00,36482,113.84
2025-01-05T00:30+01:00,36133,113.84
2025-01-05T00:45+01:00,34746.2,113.84
2025-01-05T01:00+01:00,33920,100.33
2025-01-05T01:15+01:00,33622.2,100.33
2025-01-05T01:30+01:00,33342.7,100.33
2025-01-05T01:45+01:00,32996.7,100.33
2025-01-05T02:00+01:00,32766,93.61
2025-01-05T02:15+01:00,32422.1,93.61
2025-01-05T02:30+01:00,32579.3,93.61
2025-01-05T02:45+01:00,32502,93.61
2025-01-05T03:00+01:00,32706,93.87
2025-01-05T03:15+01:00,32713.2,93.87
2025-01-05T03:30+01:00,33117.6,93.87
2025-01-05T03:45+01:00,32959.9,93.87
2025-01-05T04:00+01:00,32725,89.38
2025-01-05T04:15+01:00,32348.9,89.38
2025-01-05T04:30+01:00,32166.2,89.38
2025-01-05T04:45+01:00,31840.1,89.38
2025-01-05T05:00+01:00,31591.4,83.55
2025-01-05T05:15+01:00,31202.5,83.55
2025-01-05T05:30+01:00,30621.5,83.55
2025-01-05T05:45+01:00,30580.7,83.55
2025-01-05T06:00+01:00,30604.9,83.92
2025-01-05T06:15+01:00,30329.2,83.92
2025-01-05T06:30+01:00,29903,83.92
2025-01-05T06:45+01:00,29599.3,83.92
2025-01-05T07:00+01:00,29349,82.53
2025-01-05T07:15+01:00,28533,82.53
2025-01-05T07:30+01:00,27887.1,82.53
2025-01-05T07:45+01:00,27422,82.53
2025-01-05T08:00+01:00,27365.8,84.05
2025-01-05T08:15+01:00,26852.5,84.05
2025-01-05T08:30+01:00,26988.6,84.05
2025-01-05T08:45+01:00,27638.9,84.05
2025-01-05T09:00+01:00,27949.9,89.15
2025-01-05T09:15+01:00,27928.2,89.15
2025-01-05T09:30+01:00,27989.4,89.15
2025-01-05T09:45+01:00,27856,89.15
2025-01-05T10:00+01:00,27050.2,82.95
2025-01-05T10:15+01:00,26568.6,82.95
2025-01-05T10:30+01:00,26735.4,82.95
2025-01-05T10:45+01:00,26902.1,82.95
2025-01-05T11:00+01:00,27174.8,88.82
2025-01-05T11:15+01:00,26938.3,88.82
2025-01-05T11:30+01:00,27327.8,88.82
2025-01-05T11:45+01:00,27068.6,88.82
2025-01-05T12:00+01:00,26660.2,81.66
2025-01-05T12:15+01:00,26333.9,81.66
2025-01-05T12:30+01:00,26181.9,81.66
2025-01-05T12:45+01:00,25713,81.66
2025-01-05T13:00+01:00,24721.8,78.39
2025-01-05T13:15+01:00,23394.9,78.39
2025-01-05T13:30+01:00,23014.8,78.39
2025-01-05T13:45+01:00,22372.1,78.39
2025-01-05T14:00+01:00,22127.1,68
2025-01-05T14:15+01:00,21671.3,68
2025-01-05T14:30+01:00,21423.4,68
2025-01-05T14:45+01:00,21249.2,68
2025-01-05T15:00+01:00,21917.5,50.64
2025-01-05T15:15+01:00,21613.3,50.64
2025-01-05T15:30+01:00,21294.6,50.64
2025-01-05T15:45+01:00,20915.8,50.64
2025-01-05T16:00+01:00,21363,49.91
2025-01-05T16:15+01:00,21640.3,49.91
2025-01-05T16:30+01:00,21805,49.91
2025-01-05T16:45+01:00,21974.7,49.91
2025-01-05T17:00+01:00,21808.7,66.3
2025-01-05T17:15+01:00,22301.3,66.3
2025-01-05T17:30+01:00,22870.4,66.3
2025-01-05T17:45+01:00,22623.8,66.3
2025-01-05T18:00+01:00,22566.8,65.05
2025-01-05T18:15+01:00,22708.1,65.05
2025-01-05T18:30+01:00,22374.9,65.05
2025-01-05T18:45+01:00,21921.7,65.05
2025-01-05T19:00+01:00,21396.3,51.28
2025-01-05T19:15+01:00,20986,51.28
2025-01-05T19:30+01:00,20865.6,51.28
2025-01-05T19:45+01:00,20265.4,51.28
2025-01-05T20:00+01:00,20370.1,36.85
2025-01-05T20:15+01:00,19255.1,36.85
2025-01-05T20:30+01:00,18654,36.85
2025-01-05T20:45+01:00,18275.9,36.85
2025-01-05T21:00+01:00,17885,36.8
2025-01-05T21:15+01:00,17787,36.8
2025-01-05T21:30+01:00,17153.2,36.8
2025-01-05T21:45+01:00,17045,36.8
2025-01-05T22:00+01:00,18219.1,34.68
2025-01-05T22:15+01:00,17124.4,34.68
2025-01-05T22:30+01:00,16811,34.68
2025-01-05T22:45+01:00,16026.8,34.68
2025-01-05T23:00+01:00,15820.3,28.14
2025-01-05T23:15+01:00,14890.3,28.14
2025-01-05T23:30+01:00,14243.5,28.14
2025-01-05T23:45+01:00,13476.5,28.14
2025-01-06T00:00+01:00,12107.9,27.52
2025-01-06T00:15+01:00,11494.2,27.52
2025-01-06T00:30+01:00,10757.7,27.52
2025-01-06T00:45+01:00,10148.1,27.52
2025-01-06T01:00+01:00,9619.2,19.26
2025-01-06T01:15+01:00,8950.9,19.26
2025-01-06T01:30+01:00,8489.3,19.26
2025-01-06T01:45+01:00,7837.5,19.26
2025-01-06T02:00+01:00,7061.1,11.35
2025-01-06T02:15+01:00,6581.5,11.35
2025-01-06T02:30+01:00,6065.5,11.35
2025-01-06T02:45+01:00,5645.1,11.35
2025-01-06T03:00+01:00,5983.6,9.2
2025-01-06T03:15+01:00,5527.4,9.2
2025-01-06T03:30+01:00,5476,9.2
2025-01-06T03:45+01:00,5072,9.2
2025-01-06T04:00+01:00,4992.9,10
2025-01-06T04:15+01:00,5036.8,10
2025-01-06T04:30+01:00,5277.2,10
2025-01-06T04:45+01:00,5248,10
2025-01-06T05:00+01:00,6025.9,14.81
2025-01-06T05:15+01:00,5940.7,14.81
2025-01-06T05:30+01:00,6726.2,14.81
2025-01-06T05:45+01:00,7416.5,14.81
2025-01-06T06:00+01:00,8756.3,23.82
2025-01-06T06:15+01:00,9506,23.82
2025-01-06T06:30+01:00,9723.6,23.82
2025-01-06T06:45+01:00,10189.1,23.82
2025-01-06T07:00+01:00,10779,31.72
2025-01-06T07:15+01:00,11845.8,31.72
2025-01-06T07:30+01:00,12236.2,31.72
2025-01-06T07:45+01:00,12532,31.72
2025-01-06T08:00+01:00,14427.2,41.37
2025-01-06T08:15+01:00,14678.9,41.37
2025-01-06T08:30+01:00,14436.3,41.37
2025-01-06T08:45+01:00,14157.7,41.37
2025-01-06T09:00+01:00,14274.7,36.36
2025-01-06T09:15+01:00,13708.1,36.36
2025-01-06T09:30+01:00,13647.7,36.36
2025-01-06T09:45+01:00,13316.6,36.36
2025-01-06T10:00+01:00,12893.1,34.69
2025-01-06T10:15+01:00,11482,34.69
2025-01-06T10:30+01:00,11368.4,34.69
2025-01-06T10:45+01:00,10975.1,34.69
2025-01-06T11:00+01:00,10083.6,32.83
2025-01-06T11:15+01:00,9628.8,32.83
2025-01-06T11:30+01:00,9432,32.83
2025-01-06T11:45+01:00,9033.4,32.83
2025-01-06T12:00+01:00,8325.5,31.28
2025-01-06T12:15+01:00,8127.3,31.28
2025-01-06T12:30+01:00,7884.8,31.28
2025-01-06T12:45+01:00,7750.7,31.28
2025-01-06T13:00+01:00,7541.6,28.6
2025-01-06T13:15+01:00,7349.9,28.6
2025-01-06T13:30+01:00,7724.7,28.6
2025-01-06T13:45+01:00,7668,28.6
2025-01-06T14:00+01:00,7957.9,25.61
2025-01-06T14:15+01:00,7860.5,25.61
2025-01-06T14:30+01:00,8321.9,25.61
2025-01-06T14:45+01:00,9316.7,25.61
2025-01-06T15:00+01:00,10192.8,26.32
2025-01-06T15:15+01:00,11074,26.32
2025-01-06T15:30+01:00,11949.2,26.32
2025-01-06T15:45+01:00,12433.3,26.32
2025-01-06T16:00+01:00,12918.3,26.87
2025-01-06T16:15+01:00,13182.6,26.87
2025-01-06T16:30+01:00,13455.6,26.87
2025-01-06T16:45+01:00,13805.4,26.87
2025-01-06T17:00+01:00,15677.2,31.66
2025-01-06T17:15+01:00,15931.2,31.66
2025-01-06T17:30+01:00,15917.7,31.66
2025-01-06T17:45+01:00,16818.8,31.66
2025-01-06T18:00+01:00,17681.1,31.58
2025-01-06T18:15+01:00,18048.4,31.58
2025-01-06T18:30+01:00,17720.1,31.58
2025-01-06T18:45+01:00,17515.9,31.58
2025-01-06T19:00+01:00,17145.6,28.74
2025-01-06T19:15+01:00,16650.3,28.74
2025-01-06T19:30+01:00,16127.3,28.74
2025-01-06T19:45+01:00,15877,28.74
2025-01-06T20:00+01:00,15222.9,26.59
2025-01-06T20:15+01:00,14412.7,26.59
2025-01-06T20:30+01:00,14075.9,26.59
2025-01-06T20:45+01:00,13605.7,26.59
2025-01-06T21:00+01:00,12678.3,13.82
2025-01-06T21:15+01:00,11993.1,13.82
2025-01-06T21:30+01:00,11764.2,13.82
2025-01-06T21:45+01:00,11520.7,13.82
2025-01-06T22:00+01:00,12843,26.94
2025-01-06T22:15+01:00,12028.5,26.94
2025-01-06T22:30+01:00,11349.5,26.94
2025-01-06T22:45+01:00,10857.4,26.94
2025-01-06T23:00+01:00,10148.7,12.99
2025-01-06T23:15+01:00,9765.7,12.99
2025-01-06T23:30+01:00,9104.3,12.99
2025-01-06T23:45+01:00,8781.1,12.99
2025-01-07T00:00+01:00,6972.7,19.07
2025-01-07T00:15+01:00,6591.4,19.07
2025-01-07T00:30+01:00,6549,19.07
2025-01-07T00:45+01:00,6359,19.07
2025-01-07T01:00+01:00,6450.4,8.71
2025-01-07T01:15+01:00,6199.4,8.71
2025-01-07T01:30+01:00,5824.8,8.71
2025-01-07T01:45+01:00,5708.8,8.71
2025-01-07T02:00+01:00,5458.8,8.9
2025-01-07T02:15+01:00,5349.4,8.9
